sale_date,sale_price,bedrooms,bathrooms,living_area_sqft,lot_area_sqft,floors,waterfront,house_condition,overall_grade,above_basement_sqft,basement_sqft,house_age_years,renovation_year,zipcode,latitude,longitude,living_area_renovated_sqft,lot_area_renovated_sqft,Renovated,Price per sqft
  12/14/17,"360,000.00",4,2.5,"1,900.00","5,889.00",2.00,No,Fair,7,"1,900.00",0.00,26,0,98038,47.35,-122.03,"1,870.00","6,405.00",No,189.47
  10/14/17,"355,000.00",2,1,"2,020.00","6,720.00",1.00,No,Fair,7,"1,010.00","1,010.00",70,0,98118,47.55,-122.29,"1,720.00","6,720.00",No,175.74
  1/15/16,"356,000.00",3,1.5,"1,680.00","8,712.00",1.00,No,Fair,8,"1,680.00",0.00,54,0,98059,47.48,-122.15,"1,850.00","8,797.00",No,211.90
  6/14/17,"315,000.00",3,1,960.00,"6,634.00",1.00,No,Fair,6,960.00,0.00,66,0,98125,47.73,-122.31,"1,570.00","7,203.00",No,328.13
  11/14/17,"940,000.00",3,1.5,"2,140.00","3,600.00",2.00,No,Fair,9,"1,900.00",240.00,93,0,98119,47.63,-122.37,"2,020.00","4,800.00",No,439.25
  11/14/17,"305,000.00",5,2.25,"2,660.00","8,400.00",1.50,No,Excellent,7,"2,660.00",0.00,57,0,98092,47.29,-122.19,"1,590.00","8,165.00",No,114.66
  6/14/17,"461,000.00",3,3.25,"2,770.00","6,278.00",2.00,No,Fair,9,"1,980.00",790.00,12,0,98056,47.52,-122.20,"1,900.00","7,349.00",No,166.43
  5/14/17,"215,000.00",2,2.25,"1,610.00","2,040.00",2.00,No,Good,7,"1,610.00",0.00,39,0,98056,47.52,-122.19,"1,950.00","2,025.00",No,133.54
  9/14/17,"335,000.00",2,1.75,"1,030.00","1,066.00",2.00,No,Fair,7,765.00,265.00,12,0,98136,47.54,-122.39,"1,030.00","1,106.00",No,325.24
  3/15/16,"1,100,000.00",5,2.75,"3,520.00","6,353.00",2.00,No,Good,10,"3,520.00",0.00,17,0,98199,47.65,-122.39,"2,520.00","6,250.00",No,312.50
  2/15/16,"153,000.00",3,1,"1,200.00","10,500.00",1.00,No,Fair,7,"1,200.00",0.00,56,0,98023,47.32,-122.35,"1,350.00","10,500.00",No,127.50
  7/14/17,"430,000.00",3,1.5,"1,580.00","5,000.00",1.00,No,Fair,8,"1,290.00",290.00,79,0,98117,47.69,-122.39,"1,570.00","4,500.00",No,272.15
  12/14/17,"700,000.00",3,1.5,"1,580.00","5,000.00",1.00,No,Fair,8,"1,290.00",290.00,79,0,98117,47.69,-122.39,"1,570.00","4,500.00",No,443.04
  9/14/17,"905,000.00",4,2.5,"3,300.00","10,250.00",1.00,No,Fair,7,"2,390.00",910.00,72,1991,98040,47.59,-122.25,"1,950.00","6,045.00",Yes,274.24
  3/15/16,"247,500.00",3,1.75,"1,960.00","15,681.00",1.00,No,Fair,7,"1,960.00",0.00,51,0,98032,47.36,-122.28,"1,750.00","15,616.00",No,126.28
  9/14/17,"199,000.00",4,1.5,"1,160.00","6,400.00",1.00,No,Good,7,"1,160.00",0.00,43,0,98023,47.30,-122.38,"1,160.00","6,400.00",No,171.55
  7/14/17,"314,000.00",3,1.75,"1,810.00","41,800.00",1.00,No,Excellent,7,"1,210.00",600.00,38,0,98038,47.41,-121.96,"1,650.00","135,036.00",No,173.48
  5/14/17,"437,500.00",3,2.5,"2,320.00","36,847.00",2.00,No,Fair,9,"2,320.00",0.00,26,0,98045,47.48,-121.71,"2,550.00","35,065.00",No,188.58
  6/14/17,"850,830.00",3,2.5,"2,070.00","13,241.00",1.50,No,Excellent,9,"1,270.00",800.00,108,0,98102,47.64,-122.32,"2,200.00","4,500.00",No,411.03
  10/14/17,"555,000.00",3,2,"1,980.00","3,478.00",1.50,No,Good,7,"1,440.00",540.00,89,0,98117,47.68,-122.37,"1,610.00","3,478.00",No,280.30
  12/14/17,"699,950.00",3,2.25,"2,190.00","107,593.00",2.00,No,Good,8,"2,190.00",0.00,35,0,98077,47.77,-122.08,"2,570.00","47,777.00",No,319.61
  10/14/17,"1,090,000.00",3,2.5,"2,920.00","8,113.00",2.00,No,Fair,8,"2,920.00",0.00,68,2010,98004,47.58,-122.20,"2,370.00","8,113.00",Yes,373.29
  9/14/17,"290,000.00",3,1,"1,210.00","33,919.00",1.00,No,Fair,7,"1,210.00",0.00,64,0,98058,47.44,-122.18,"1,640.00","14,910.00",No,239.67
  4/15/16,"375,000.00",3,2.5,"2,340.00","10,005.00",1.00,No,Good,8,"1,460.00",880.00,40,0,98058,47.44,-122.13,"2,250.00","8,162.00",No,160.26
  5/14/17,"460,000.00",3,1,"1,670.00","4,005.00",1.50,No,Good,7,"1,170.00",500.00,79,0,98117,47.69,-122.38,"1,240.00","4,005.00",No,275.45
  7/14/17,"188,500.00",2,1.75,"1,240.00","2,493.00",1.00,No,Good,8,"1,240.00",0.00,33,0,98198,47.38,-122.32,"1,270.00","4,966.00",No,152.02
  3/15/16,"680,000.00",4,2.5,"3,140.00","28,037.00",2.00,No,Good,10,"3,140.00",0.00,27,0,98077,47.73,-122.08,"2,990.00","35,001.00",No,216.56
  8/14/17,"470,000.00",5,1.75,"2,030.00","12,342.00",2.00,No,Good,7,"2,030.00",0.00,76,0,98052,47.64,-122.11,"2,500.00","9,433.00",No,231.53
  7/14/17,"597,750.00",4,2.5,"2,310.00","9,624.00",2.00,No,Fair,8,"2,310.00",0.00,34,0,98027,47.54,-122.05,"1,940.00","9,636.00",No,258.77
  3/15/16,"570,000.00",3,1.75,"1,260.00","3,328.00",1.00,No,Excellent,6,700.00,560.00,113,0,98103,47.68,-122.35,"1,380.00","3,536.00",No,452.38
  9/14/17,"272,500.00",3,1.75,"1,540.00","12,600.00",1.00,No,Good,7,"1,160.00",380.00,38,0,98038,47.36,-122.03,"1,540.00","11,656.00",No,176.95
  11/14/17,"329,950.00",3,1.75,"2,080.00","5,969.00",1.00,No,Fair,7,"1,080.00","1,000.00",47,0,98108,47.55,-122.30,"2,090.00","5,500.00",No,158.63
  10/14/17,"480,000.00",4,2.5,"3,230.00","16,171.00",2.00,No,Fair,9,"2,520.00",710.00,17,0,98001,47.32,-122.25,"2,640.00","8,517.00",No,148.61
  11/14/17,"740,500.00",3,3.5,"4,380.00","6,350.00",2.00,No,Fair,8,"2,780.00","1,600.00",118,1999,98117,47.70,-122.37,"1,830.00","6,350.00",Yes,169.06
  6/14/17,"518,500.00",3,3.5,"1,590.00","1,102.00",3.00,No,Fair,8,"1,590.00",0.00,8,0,98103,47.68,-122.35,"1,620.00","3,166.00",No,326.10
  6/14/17,"205,425.00",2,1,880.00,"6,780.00",1.00,No,Good,6,880.00,0.00,73,0,98178,47.50,-122.25,"1,190.00","6,780.00",No,233.44
  1/15/16,"171,800.00",4,2,"1,570.00","9,600.00",1.00,No,Fair,6,"1,570.00",0.00,68,0,98168,47.50,-122.30,"1,880.00","9,000.00",No,109.43
  5/15/16,"535,000.00",4,1,"1,610.00","2,982.00",1.50,No,Good,7,"1,610.00",0.00,93,0,98144,47.59,-122.29,"1,610.00","4,040.00",No,332.30
  1/15/16,"660,000.00",3,2.5,"2,400.00","6,474.00",1.00,No,Fair,8,"1,560.00",840.00,54,0,98177,47.77,-122.39,"2,340.00","10,856.00",No,275.00
  11/14/17,"391,500.00",3,2,"1,450.00","9,132.00",1.00,No,Fair,7,"1,450.00",0.00,31,0,98034,47.73,-122.23,"1,580.00","9,104.00",No,270.00
  4/15/16,"395,000.00",2,1,770.00,"6,000.00",1.00,No,Fair,6,770.00,0.00,65,0,98117,47.70,-122.36,"1,710.00","6,000.00",No,512.99
  11/14/17,"445,000.00",4,1.75,"2,100.00","4,400.00",1.50,No,Excellent,7,"1,720.00",380.00,94,0,98118,47.53,-122.27,"1,850.00","4,400.00",No,211.90
  6/14/17,"770,000.00",3,2.25,"2,910.00","10,204.00",2.00,No,Fair,9,"2,910.00",0.00,28,0,98052,47.69,-122.10,"2,700.00","13,992.00",No,264.60
  3/15/16,"1,129,575.00",4,2.75,"2,750.00","17,789.00",1.50,No,Fair,8,"1,980.00",770.00,104,1992,98004,47.61,-122.21,"3,060.00","11,275.00",Yes,410.75
  7/14/17,"445,000.00",3,2.25,"2,100.00","8,201.00",1.00,No,Fair,8,"1,620.00",480.00,51,0,98178,47.51,-122.24,"2,660.00","8,712.00",No,211.90
  7/14/17,"260,000.00",4,2.25,"2,160.00","8,811.00",1.00,No,Fair,8,"1,360.00",800.00,40,0,98023,47.31,-122.39,"2,090.00","8,400.00",No,120.37
  6/14/17,"822,500.00",5,3.5,"2,320.00","4,960.00",2.00,No,Excellent,7,"1,720.00",600.00,92,0,98103,47.68,-122.35,"1,700.00","4,960.00",No,354.53
  4/15/16,"430,000.00",4,2.5,"2,070.00","4,310.00",2.00,No,Fair,7,"2,070.00",0.00,14,0,98065,47.53,-121.85,"1,970.00","3,748.00",No,207.73
  1/15/16,"212,000.00",3,1.75,"1,060.00","7,875.00",1.00,No,Good,7,"1,060.00",0.00,32,0,98092,47.28,-122.15,"1,420.00","7,680.00",No,200.00
  4/15/16,"660,500.00",4,2.25,"2,010.00","9,603.00",1.00,No,Fair,8,"1,440.00",570.00,32,0,98027,47.53,-122.05,"2,060.00","9,793.00",No,328.61
  6/14/17,"784,000.00",3,3.5,"3,950.00","111,078.00",1.50,No,Fair,9,"2,460.00","1,490.00",29,0,98052,47.70,-122.07,"2,480.00","88,500.00",No,198.48
  5/14/17,"453,246.00",3,2.5,"2,010.00","2,287.00",2.00,No,Fair,8,"1,390.00",620.00,4,0,98029,47.55,-122.00,"1,690.00","1,662.00",No,225.50
  1/15/16,"675,000.00",4,3.5,"2,140.00","2,278.00",3.00,No,Fair,9,"2,140.00",0.00,13,0,98107,47.67,-122.38,"1,540.00","2,285.00",No,315.42
  8/14/17,"199,000.00",3,1.75,"1,320.00","17,390.00",1.00,No,Good,7,"1,320.00",0.00,62,0,98003,47.33,-122.30,"1,550.00","19,265.00",No,150.76
  8/14/17,"220,000.00",4,1.75,"2,020.00","7,840.00",1.00,No,Fair,7,"1,010.00","1,010.00",50,0,98003,47.33,-122.30,"1,750.00","8,140.00",No,108.91
  5/14/17,"452,000.00",4,2.25,"2,590.00","10,002.00",1.00,No,Good,8,"1,340.00","1,250.00",50,0,98028,47.77,-122.27,"1,550.00","10,436.00",No,174.52
  7/14/17,"382,500.00",2,1,"1,190.00","4,440.00",1.00,No,Fair,6,"1,190.00",0.00,37,0,98125,47.71,-122.29,"1,060.00","5,715.00",No,321.43
  5/14/17,"519,950.00",3,2.25,"1,170.00","1,249.00",3.00,No,Fair,8,"1,170.00",0.00,4,0,98107,47.67,-122.38,"1,350.00","1,310.00",No,444.40
  6/14/17,"665,000.00",2,1,"1,110.00","3,200.00",1.00,No,Fair,7,"1,110.00",0.00,93,0,98119,47.63,-122.36,"1,170.00","3,600.00",No,599.10
  7/14/17,"527,700.00",5,2.5,"2,820.00","9,375.00",1.00,No,Good,8,"1,550.00","1,270.00",50,0,98006,47.57,-122.13,"2,820.00","9,375.00",No,187.13
  5/15/16,"205,000.00",3,1,"1,610.00","8,579.00",1.00,No,Good,7,"1,010.00",600.00,56,0,98058,47.46,-122.17,"1,610.00","8,579.00",No,127.33
  4/15/16,"420,000.00",3,1,"1,060.00","8,097.00",1.00,No,Good,7,940.00,120.00,95,0,98133,47.71,-122.35,"1,560.00","7,940.00",No,396.23
  2/15/16,"500,000.00",4,2.25,"2,030.00","8,517.00",1.00,No,Good,8,"1,380.00",650.00,57,0,98006,47.55,-122.17,"2,230.00","8,824.00",No,246.31
  12/14/17,"921,500.00",4,2.5,"3,670.00","315,374.00",2.00,No,Good,9,"3,670.00",0.00,24,0,98077,47.74,-122.03,"2,840.00","87,991.00",No,251.09
  6/14/17,"890,000.00",4,1,"2,550.00","4,000.00",2.00,No,Fair,8,"2,370.00",180.00,113,0,98109,47.64,-122.35,"2,200.00","4,000.00",No,349.02
  8/14/17,"430,000.00",2,2.5,"2,420.00","60,984.00",2.00,No,Fair,7,"2,420.00",0.00,11,0,98027,47.53,-121.94,"1,940.00","193,842.00",No,177.69
  10/14/17,"258,000.00",5,2,"2,260.00","12,500.00",1.00,No,Good,8,"1,130.00","1,130.00",58,0,98032,47.39,-122.29,"1,360.00","18,000.00",No,114.16
  11/14/17,"511,000.00",3,1,"1,430.00","3,455.00",1.00,No,Fair,7,980.00,450.00,71,0,98103,47.69,-122.34,"1,450.00","4,599.00",No,357.34
  8/14/17,"532,170.00",3,2,"1,360.00","3,090.00",2.00,No,Fair,8,"1,360.00",0.00,28,0,98103,47.68,-122.35,"1,500.00","3,090.00",No,391.30
  4/15/16,"560,000.00",3,1,"1,110.00","5,000.00",1.50,No,Fair,7,"1,110.00",0.00,71,0,98107,47.66,-122.36,"1,420.00","5,000.00",No,504.50
  3/15/16,"282,950.00",3,1,"1,250.00","8,200.00",1.00,No,Good,7,"1,250.00",0.00,64,0,98003,47.33,-122.30,"1,680.00","8,633.00",No,226.36
